test case,clang,clang-msan,zipr,zipr-binmsan
BinaryArithmeticHandlerTests-memImm,0.442,0.961,1.663,2.659
BinaryArithmeticHandlerTests-memReg,0.507,1.128,1.685,2.507
BinaryArithmeticHandlerTests-regImm,0.553,1.061,1.783,2.633
BinaryArithmeticHandlerTests-regMem,0.518,1.112,1.675,2.672
BinaryArithmeticHandlerTests-regReg,0.541,1.104,1.719,2.602
BinaryLogicHandlerTests-memImm,0.415,0.933,1.764,2.545
BinaryLogicHandlerTests-memReg,0.545,1.097,1.659,2.694
BinaryLogicHandlerTests-regImm,0.52,1.116,1.699,2.583
BinaryLogicHandlerTests-regMem,0.514,1.126,1.691,2.74
BinaryLogicHandlerTests-regReg,0.536,1.096,1.694,2.537
BinaryLogicHandlerTests-xorRegReg,0.545,1.078,1.666,2.704
ControlFlowHandlerTests-poisonedTarget_mem,0.535,1.13,1.628,2.71
ControlFlowHandlerTests-poisonedTarget_reg,0.52,1.054,1.606,2.517
ControlFlowHandlerTests-unpoisonedTarget_mem,0.507,1.101,1.706,2.616
ControlFlowHandlerTests-unpoisonedTarget_reg,0.532,1.099,1.753,2.585
LeaHandlerTests-lea16_poisoned,0.566,1.129,1.678,2.653
LeaHandlerTests-lea16_unpoisoned,0.561,1.079,1.802,2.628
LeaHandlerTests-lea32_poisoned,0.567,1.181,1.729,2.551
LeaHandlerTests-lea32_unpoisoned,0.577,1.117,1.676,2.693
LeaHandlerTests-lea64_poisoned,0.551,1.096,1.697,2.494
LeaHandlerTests-lea64_unpoisoned,0.531,1.154,1.735,2.605
MovHandlerTests-immToMem_16bit,0.419,0.939,1.737,2.476
MovHandlerTests-immToMem_32bit,0.417,0.962,1.702,2.564
MovHandlerTests-immToMem_64bit,0.42,0.972,1.731,2.503
MovHandlerTests-immToMem_8bit,0.422,0.956,1.741,2.514
MovHandlerTests-immToReg_16bit,0.512,1.123,1.712,2.636
MovHandlerTests-immToReg_32bit,0.506,1.057,1.754,2.489
MovHandlerTests-immToReg_64bit,0.517,1.125,1.784,2.607
MovHandlerTests-immToReg_8bit,0.524,1.079,1.691,2.669
MovHandlerTests-immToReg_8bitHigh,0.53,1.119,1.781,2.496
MovHandlerTests-memToReg_16bit,0.528,1.09,1.684,2.643
MovHandlerTests-memToReg_32bit,0.531,1.127,1.649,2.524
MovHandlerTests-memToReg_64bit,0.528,1.099,1.951,2.536
MovHandlerTests-memToReg_8bit,0.533,1.199,2.067,2.606
MovHandlerTests-memToReg_8bitHigh,0.512,1.082,1.812,2.568
MovHandlerTests-regToMem_16bit,0.508,1.085,1.802,2.443
MovHandlerTests-regToMem_32bit,0.527,1.088,1.776,2.438
MovHandlerTests-regToMem_64bit,0.516,1.095,1.709,2.537
MovHandlerTests-regToMem_8bit,0.508,1.096,1.724,2.531
MovHandlerTests-regToMem_8bitHigh,0.534,1.139,1.682,2.568
MovHandlerTests-regToReg_16bit,0.503,1.074,1.747,2.546
MovHandlerTests-regToReg_32bit,0.543,1.093,1.735,2.542
MovHandlerTests-regToReg_64bit,0.547,1.12,1.726,2.574
MovHandlerTests-regToReg_8bit,0.503,1.101,1.728,2.439
MovHandlerTests-regToReg_8bitHigh,0.525,1.15,1.743,3.096
MovHandlerTests-regToReg_8bitHighMixed1,0.519,1.078,1.71,2.49
MovHandlerTests-regToReg_8bitHighMixed2,0.513,1.129,1.818,2.574
PropagationTests-addition_propagation,0.447,0.912,1.642,2.369
PropagationTests-class,0.571,1.083,1.734,2.591
PropagationTests-conjunction_propagation,0.439,0.912,1.64,2.437
PropagationTests-disjunction_propagation,0.443,0.91,1.642,2.755
PropagationTests-excl_disjunction_propagation,0.415,0.901,1.682,2.39
PropagationTests-subtraction_propagation,0.423,0.926,1.684,2.451
SinkTests-conditional_branch,0.424,0.914,1.924,2.512
SinkTests-conditional_branch_unpoisoned,0.432,0.897,1.632,2.413
SinkTests-function_pointer,0.127,0.181,1.721,2.238
SinkTests-function_pointer_unpoisoned,0.427,0.949,1.711,2.545
SinkTests-libc,0.585,1.095,1.776,2.369
SinkTests-libc_unpoisoned,0.525,1.104,1.639,2.656
SinkTests-pointer_deref,0.445,0.923,1.885,2.375
SinkTests-pointer_deref_unpoisoned,0.453,0.95,1.718,2.348
SinkTests-syscall,0.435,0.902,1.738,2.406
SinkTests-syscall_unpoisoned,0.427,0.898,1.651,2.744
SourceTests-heap_poisoned,0.551,1.092,1.748,2.415
SourceTests-heap_unpoisoned,0.581,1.087,1.679,2.369
SourceTests-stack_poisoned,0.504,0.991,1.653,2.585
SourceTests-stack_unpoisoned,0.462,0.995,1.644,2.508
StackVariableHandlerTests-stack_leaf,0.431,0.92,1.735,2.463
StackVariableHandlerTests-stack_leaf_values_not_overwritten,0.43,0.918,1.724,2.376
StackVariableHandlerTests-stack_redzone_and_rspSub,0.415,0.904,1.632,2.48
StackVariableHandlerTests-stack_regular,0.46,0.884,1.647,2.29
StackVariableHandlerTests-stack_tailcall,0.128,0.175,1.758,2.491
