Number of instrumented instructions;Number of covered binaries;Binaries;Instrumented instructions
1;0;[];['add']
2;0;[];['add', 'and']
3;0;[];['add', 'and', 'call']
4;0;[];['add', 'and', 'call', 'cmove']
5;0;[];['add', 'and', 'call', 'cmove', 'cmovne']
6;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp']
7;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul']
8;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja']
9;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae']
10;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe']
11;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je']
12;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg']
13;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge']
14;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle']
15;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp']
16;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne']
17;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns']
18;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js']
19;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea']
20;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov']
21;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps']
22;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx']
23;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd']
24;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups']
25;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx']
26;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or']
27;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop']
28;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push']
29;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret']
30;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete']
31;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne']
32;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl']
33;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr']
34;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub']
35;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test']
36;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor']
37;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg']
38;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo']
39;0;[];['add', 'and', 'call', 'cmove', 'cmovne', 'cmp', 'imul', 'ja', 'jae', 'jbe', 'je', 'jg', 'jge', 'jle', 'jmp', 'jne', 'jns', 'js', 'lea', 'mov', 'movaps', 'movsx', 'movsxd', 'movups', 'movzx', 'or', 'pop', 'push', 'ret', 'sete', 'setne', 'shl', 'shr', 'sub', 'test', 'xor', 'cmovg', 'cqo', 'idiv']
