Binary;Number of distinct mnemonics
gold;131
find;116
sort;108
du;107
gprof;107
df;105
ls;103
vdir;103
dir;103
ld-new;102
objdump;102
locate;100
as-new;99
cxxfilt;97
strings;97
size;97
ar;97
ranlib;97
strip-new;97
objcopy;97
addr2line;97
nm-new;97
cksum;93
numfmt;93
shred;93
readelf;91
tail;87
dd;87
od;85
ginstall;84
mv;83
stat;83
cp;82
seq;82
sum;82
shuf;81
expr;79
factor;79
wc;78
ptx;76
chown;76
tac;75
chcon;75
chroot;75
chmod;75
ln;75
nl;74
rm;74
chgrp;74
csplit;74
realpath;73
readlink;73
touch;70
date;70
pr;69
uptime;68
split;68
timeout;66
cut;66
sleep;65
dircolors;64
sha1sum;63
sha256sum;63
head;63
md5sum;63
basenc;63
sha224sum;63
stty;62
sha512sum;62
join;62
sha384sum;62
xargs;62
id;61
env;61
b2sum;61
truncate;60
comm;60
uniq;60
base64;59
base32;59
nproc;59
cat;59
fmt;59
unexpand;58
pwd;58
expand;58
who;58
pinky;58
fold;58
mknod;58
tsort;58
mkdir;58
nice;57
tr;57
mktemp;56
test;56
mkfifo;56
[;56
groups;56
rmdir;56
paste;56
kill;56
users;56
nohup;56
yes;55
sync;55
basename;55
pathchk;55
printf;55
dirname;54
unlink;54
link;54
printenv;54
tee;54
logname;53
tty;53
whoami;53
runcon;53
hostid;53
uname;53
elfedit;50
echo;48
false;48
true;48
