Mnemonic;Appears in x binaries;Binaries
add;124;['gold', 'find', 'sort', 'du', 'gprof', 'df', 'ls', 'vdir', 'dir', 'ld-new', 'objdump', 'locate', 'as-new', 'cxxfilt', 'strings', 'size', 'ar', 'ranlib', 'strip-new', 'objcopy', 'addr2line', 'nm-new', 'cksum', 'numfmt', 'shred', 'readelf', 'tail', 'dd', 'od', 'ginstall', 'mv', 'stat', 'cp', 'seq', 'sum', 'shuf', 'expr', 'factor', 'wc', 'ptx', 'chown', 'tac', 'chcon', 'chroot', 'chmod', 'ln', 'nl', 'rm', 'chgrp', 'csplit', 'realpath', 'readlink', 'touch', 'date', 'pr', 'uptime', 'split', 'timeout', 'cut', 'sleep', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'stty', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'printf', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true']
and;124;['gold', 'find', 'sort', 'du', 'gprof', 'df', 'ls', 'vdir', 'dir', 'ld-new', 'objdump', 'locate', 'as-new', 'cxxfilt', 'strings', 'size', 'ar', 'ranlib', 'strip-new', 'objcopy', 'addr2line', 'nm-new', 'cksum', 'numfmt', 'shred', 'readelf', 'tail', 'dd', 'od', 'ginstall', 'mv', 'stat', 'cp', 'seq', 'sum', 'shuf', 'expr', 'factor', 'wc', 'ptx', 'chown', 'tac', 'chcon', 'chroot', 'chmod', 'ln', 'nl', 'rm', 'chgrp', 'csplit', 'realpath', 'readlink', 'touch', 'date', 'pr', 'uptime', 'split', 'timeout', 'cut', 'sleep', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'stty', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'printf', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true']
call;124;['gold', 'find', 'sort', 'du', 'gprof', 'df', 'ls', 'vdir', 'dir', 'ld-new', 'objdump', 'locate', 'as-new', 'cxxfilt', 'strings', 'size', 'ar', 'ranlib', 'strip-new', 'objcopy', 'addr2line', 'nm-new', 'cksum', 'numfmt', 'shred', 'readelf', 'tail', 'dd', 'od', 'ginstall', 'mv', 'stat', 'cp', 'seq', 'sum', 'shuf', 'expr', 'factor', 'wc', 'ptx', 'chown', 'tac', 'chcon', 'chroot', 'chmod', 'ln', 'nl', 'rm', 'chgrp', 'csplit', 'realpath', 'readlink', 'touch', 'date', 'pr', 'uptime', 'split', 'timeout', 'cut', 'sleep', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'stty', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'printf', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true']
cmove;124;['gold', 'find', 'sort', 'du', 'gprof', 'df', 'ls', 'vdir', 'dir', 'ld-new', 'objdump', 'locate', 'as-new', 'cxxfilt', 'strings', 'size', 'ar', 'ranlib', 'strip-new', 'objcopy', 'addr2line', 'nm-new', 'cksum', 'numfmt', 'shred', 'readelf', 'tail', 'dd', 'od', 'ginstall', 'mv', 'stat', 'cp', 'seq', 'sum', 'shuf', 'expr', 'factor', 'wc', 'ptx', 'chown', 'tac', 'chcon', 'chroot', 'chmod', 'ln', 'nl', 'rm', 'chgrp', 'csplit', 'realpath', 'readlink', 'touch', 'date', 'pr', 'uptime', 'split', 'timeout', 'cut', 'sleep', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'stty', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'printf', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true']
cmovne;124;['gold', 'find', 'sort', 'du', 'gprof', 'df', 'ls', 'vdir', 'dir', 'ld-new', 'objdump', 'locate', 'as-new', 'cxxfilt', 'strings', 'size', 'ar', 'ranlib', 'strip-new', 'objcopy', 'addr2line', 'nm-new', 'cksum', 'numfmt', 'shred', 'readelf', 'tail', 'dd', 'od', 'ginstall', 'mv', 'stat', 'cp', 'seq', 'sum', 'shuf', 'expr', 'factor', 'wc', 'ptx', 'chown', 'tac', 'chcon', 'chroot', 'chmod', 'ln', 'nl', 'rm', 'chgrp', 'csplit', 'realpath', 'readlink', 'touch', 'date', 'pr', 'uptime', 'split', 'timeout', 'cut', 'sleep', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'stty', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'printf', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true']
cmp;124;['gold', 'find', 'sort', 'du', 'gprof', 'df', 'ls', 'vdir', 'dir', 'ld-new', 'objdump', 'locate', 'as-new', 'cxxfilt', 'strings', 'size', 'ar', 'ranlib', 'strip-new', 'objcopy', 'addr2line', 'nm-new', 'cksum', 'numfmt', 'shred', 'readelf', 'tail', 'dd', 'od', 'ginstall', 'mv', 'stat', 'cp', 'seq', 'sum', 'shuf', 'expr', 'factor', 'wc', 'ptx', 'chown', 'tac', 'chcon', 'chroot', 'chmod', 'ln', 'nl', 'rm', 'chgrp', 'csplit', 'realpath', 'readlink', 'touch', 'date', 'pr', 'uptime', 'split', 'timeout', 'cut', 'sleep', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'stty', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'printf', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true']
imul;124;['gold', 'find', 'sort', 'du', 'gprof', 'df', 'ls', 'vdir', 'dir', 'ld-new', 'objdump', 'locate', 'as-new', 'cxxfilt', 'strings', 'size', 'ar', 'ranlib', 'strip-new', 'objcopy', 'addr2line', 'nm-new', 'cksum', 'numfmt', 'shred', 'readelf', 'tail', 'dd', 'od', 'ginstall', 'mv', 'stat', 'cp', 'seq', 'sum', 'shuf', 'expr', 'factor', 'wc', 'ptx', 'chown', 'tac', 'chcon', 'chroot', 'chmod', 'ln', 'nl', 'rm', 'chgrp', 'csplit', 'realpath', 'readlink', 'touch', 'date', 'pr', 'uptime', 'split', 'timeout', 'cut', 'sleep', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'stty', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'printf', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true']
ja;124;['gold', 'find', 'sort', 'du', 'gprof', 'df', 'ls', 'vdir', 'dir', 'ld-new', 'objdump', 'locate', 'as-new', 'cxxfilt', 'strings', 'size', 'ar', 'ranlib', 'strip-new', 'objcopy', 'addr2line', 'nm-new', 'cksum', 'numfmt', 'shred', 'readelf', 'tail', 'dd', 'od', 'ginstall', 'mv', 'stat', 'cp', 'seq', 'sum', 'shuf', 'expr', 'factor', 'wc', 'ptx', 'chown', 'tac', 'chcon', 'chroot', 'chmod', 'ln', 'nl', 'rm', 'chgrp', 'csplit', 'realpath', 'readlink', 'touch', 'date', 'pr', 'uptime', 'split', 'timeout', 'cut', 'sleep', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'stty', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'printf', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true']
jae;124;['gold', 'find', 'sort', 'du', 'gprof', 'df', 'ls', 'vdir', 'dir', 'ld-new', 'objdump', 'locate', 'as-new', 'cxxfilt', 'strings', 'size', 'ar', 'ranlib', 'strip-new', 'objcopy', 'addr2line', 'nm-new', 'cksum', 'numfmt', 'shred', 'readelf', 'tail', 'dd', 'od', 'ginstall', 'mv', 'stat', 'cp', 'seq', 'sum', 'shuf', 'expr', 'factor', 'wc', 'ptx', 'chown', 'tac', 'chcon', 'chroot', 'chmod', 'ln', 'nl', 'rm', 'chgrp', 'csplit', 'realpath', 'readlink', 'touch', 'date', 'pr', 'uptime', 'split', 'timeout', 'cut', 'sleep', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'stty', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'printf', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true']
jbe;124;['gold', 'find', 'sort', 'du', 'gprof', 'df', 'ls', 'vdir', 'dir', 'ld-new', 'objdump', 'locate', 'as-new', 'cxxfilt', 'strings', 'size', 'ar', 'ranlib', 'strip-new', 'objcopy', 'addr2line', 'nm-new', 'cksum', 'numfmt', 'shred', 'readelf', 'tail', 'dd', 'od', 'ginstall', 'mv', 'stat', 'cp', 'seq', 'sum', 'shuf', 'expr', 'factor', 'wc', 'ptx', 'chown', 'tac', 'chcon', 'chroot', 'chmod', 'ln', 'nl', 'rm', 'chgrp', 'csplit', 'realpath', 'readlink', 'touch', 'date', 'pr', 'uptime', 'split', 'timeout', 'cut', 'sleep', 'dircolors', 'sha1sum', 'sha256sum', 'head', 'md5sum', 'basenc', 'sha224sum', 'stty', 'sha512sum', 'join', 'sha384sum', 'xargs', 'id', 'env', 'b2sum', 'truncate', 'comm', 'uniq', 'base64', 'base32', 'nproc', 'cat', 'fmt', 'unexpand', 'pwd', 'expand', 'who', 'pinky', 'fold', 'mknod', 'tsort', 'mkdir', 'nice', 'tr', 'mktemp', 'test', 'mkfifo', '[', 'groups', 'rmdir', 'paste', 'kill', 'users', 'nohup', 'yes', 'sync', 'basename', 'pathchk', 'printf', 'dirname', 'unlink', 'link', 'printenv', 'tee', 'logname', 'tty', 'whoami', 'runcon', 'hostid', 'uname', 'elfedit', 'echo', 'false', 'true']
